year,sentence,execution
1976,232,0
1977,137,1
1978,185,0
1979,151,2
1980,173,0
1981,223,1
1982,267,2
1983,252,5
1984,285,1
1985,259,18
1986,301,18
1987,287,25
1988,288,11
1989,255,16
1990,251,23
1991,268,14
1992,286,31
1993,287,38
1994,315,31
1995,311,56
1996,315,45
1997,265,74
1998,294,68
1999,277,98
2000,224,85
2001,155,66
2002,165,71
2003,152,65
2004,138,59
2005,140,60
2006,125,53
2007,120,42
2008,121,37
2009,118,52
2010,109,46
2011,80,43
2012,79,43
2013,80,39
2014,73,35